Person1,Image1,Person2,Image2,Cosine Similarity,Euclidean Distance,Predicted,Actual
Angelina Jolie,009_fb3e6174.jpg,Angelina Jolie,011_7344ca35.jpg,0.5885111,0.9071812,False,Same
Angelina Jolie,009_fb3e6174.jpg,Angelina Jolie,012_cfcd4007.jpg,0.59784317,0.89683545,False,Same
Angelina Jolie,010_f99d79e3.jpg,Angelina Jolie,011_7344ca35.jpg,0.6113279,0.8816712,False,Same
Angelina Jolie,010_f99d79e3.jpg,Angelina Jolie,012_cfcd4007.jpg,0.64665616,0.8406471,False,Same
Angelina Jolie,011_7344ca35.jpg,Angelina Jolie,012_cfcd4007.jpg,0.6651485,0.81835383,False,Same
Brad Pitt,001_c04300ef.jpg,Brad Pitt,002_cc1b9701.jpg,0.76139116,0.6908094,True,Same
Brad Pitt,001_c04300ef.jpg,Brad Pitt,003_7a6b2156.jpg,0.75566393,0.69905096,True,Same
Brad Pitt,001_c04300ef.jpg,Brad Pitt,004_777c50d0.jpg,0.9168966,0.40768495,True,Same
Brad Pitt,001_c04300ef.jpg,Brad Pitt,005_02ab3a1b.jpg,0.6336523,0.85597634,False,Same
Brad Pitt,001_c04300ef.jpg,Brad Pitt,006_87166f38.jpg,0.6370242,0.852028,False,Same
Brad Pitt,001_c04300ef.jpg,Brad Pitt,007_74ccfb4a.jpg,0.6611341,0.82324475,False,Same
Brad Pitt,001_c04300ef.jpg,Brad Pitt,008_31e90c6b.jpg,0.75291556,0.7029715,True,Same
Brad Pitt,001_c04300ef.jpg,Brad Pitt,009_23c94f29.jpg,0.7053648,0.76763964,True,Same
Brad Pitt,001_c04300ef.jpg,Brad Pitt,010_08c44431.jpg,0.6824766,0.79689837,False,Same
Brad Pitt,001_c04300ef.jpg,Brad Pitt,011_270cd3ea.jpg,0.7483905,0.7093794,True,Same
Brad Pitt,001_c04300ef.jpg,Brad Pitt,012_8de7a736.jpg,0.737865,0.72406507,True,Same
Brad Pitt,002_cc1b9701.jpg,Brad Pitt,003_7a6b2156.jpg,0.69730985,0.77806205,False,Same
Brad Pitt,002_cc1b9701.jpg,Brad Pitt,004_777c50d0.jpg,0.735481,0.72735006,True,Same
Brad Pitt,002_cc1b9701.jpg,Brad Pitt,005_02ab3a1b.jpg,0.6478115,0.8392718,False,Same
Brad Pitt,002_cc1b9701.jpg,Brad Pitt,006_87166f38.jpg,0.6555713,0.8299744,False,Same
Brad Pitt,002_cc1b9701.jpg,Brad Pitt,007_74ccfb4a.jpg,0.6470952,0.84012485,False,Same
Brad Pitt,002_cc1b9701.jpg,Brad Pitt,008_31e90c6b.jpg,0.7073279,0.7650779,True,Same
Brad Pitt,002_cc1b9701.jpg,Brad Pitt,009_23c94f29.jpg,0.7398109,0.72137254,True,Same
Brad Pitt,002_cc1b9701.jpg,Brad Pitt,010_08c44431.jpg,0.6778967,0.8026248,False,Same
Brad Pitt,002_cc1b9701.jpg,Brad Pitt,011_270cd3ea.jpg,0.73654294,0.72588855,True,Same
Brad Pitt,002_cc1b9701.jpg,Brad Pitt,012_8de7a736.jpg,0.670943,0.8112422,False,Same
Brad Pitt,003_7a6b2156.jpg,Brad Pitt,004_777c50d0.jpg,0.7540609,0.7013403,True,Same
Brad Pitt,003_7a6b2156.jpg,Brad Pitt,005_02ab3a1b.jpg,0.6461397,0.8412614,False,Same
Brad Pitt,003_7a6b2156.jpg,Brad Pitt,006_87166f38.jpg,0.675454,0.8056625,False,Same
Brad Pitt,003_7a6b2156.jpg,Brad Pitt,007_74ccfb4a.jpg,0.6158374,0.8765417,False,Same
Brad Pitt,003_7a6b2156.jpg,Brad Pitt,008_31e90c6b.jpg,0.69203514,0.7848119,False,Same
Brad Pitt,003_7a6b2156.jpg,Brad Pitt,009_23c94f29.jpg,0.6401766,0.84832007,False,Same
Brad Pitt,003_7a6b2156.jpg,Brad Pitt,010_08c44431.jpg,0.695193,0.78077775,False,Same
Brad Pitt,003_7a6b2156.jpg,Brad Pitt,011_270cd3ea.jpg,0.7549218,0.7001118,True,Same
Brad Pitt,003_7a6b2156.jpg,Brad Pitt,012_8de7a736.jpg,0.6792786,0.80090135,False,Same
Brad Pitt,004_777c50d0.jpg,Brad Pitt,005_02ab3a1b.jpg,0.6343628,0.8551458,False,Same
Brad Pitt,004_777c50d0.jpg,Brad Pitt,006_87166f38.jpg,0.6392914,0.84936285,False,Same
Brad Pitt,004_777c50d0.jpg,Brad Pitt,007_74ccfb4a.jpg,0.6865596,0.791758,False,Same
Brad Pitt,004_777c50d0.jpg,Brad Pitt,008_31e90c6b.jpg,0.77742743,0.66719204,True,Same
Brad Pitt,004_777c50d0.jpg,Brad Pitt,009_23c94f29.jpg,0.66058123,0.82391614,False,Same
Brad Pitt,004_777c50d0.jpg,Brad Pitt,010_08c44431.jpg,0.653724,0.83219707,False,Same
Brad Pitt,004_777c50d0.jpg,Brad Pitt,011_270cd3ea.jpg,0.7505369,0.70634717,True,Same
Brad Pitt,004_777c50d0.jpg,Brad Pitt,012_8de7a736.jpg,0.76311743,0.68830603,True,Same
Brad Pitt,005_02ab3a1b.jpg,Brad Pitt,006_87166f38.jpg,0.6466104,0.8407017,False,Same
Brad Pitt,005_02ab3a1b.jpg,Brad Pitt,007_74ccfb4a.jpg,0.6750791,0.80612767,False,Same
Brad Pitt,005_02ab3a1b.jpg,Brad Pitt,008_31e90c6b.jpg,0.71222043,0.7586562,True,Same
Brad Pitt,005_02ab3a1b.jpg,Brad Pitt,009_23c94f29.jpg,0.6124948,0.8803468,False,Same
Brad Pitt,005_02ab3a1b.jpg,Brad Pitt,010_08c44431.jpg,0.61117154,0.8818486,False,Same
Brad Pitt,005_02ab3a1b.jpg,Brad Pitt,011_270cd3ea.jpg,0.738933,0.72258836,True,Same
Brad Pitt,005_02ab3a1b.jpg,Brad Pitt,012_8de7a736.jpg,0.74279666,0.71722156,True,Same
Brad Pitt,006_87166f38.jpg,Brad Pitt,007_74ccfb4a.jpg,0.6360667,0.853151,False,Same
Brad Pitt,006_87166f38.jpg,Brad Pitt,008_31e90c6b.jpg,0.68597895,0.79249114,False,Same
Brad Pitt,006_87166f38.jpg,Brad Pitt,009_23c94f29.jpg,0.5953159,0.8996491,False,Same
Brad Pitt,006_87166f38.jpg,Brad Pitt,010_08c44431.jpg,0.6278047,0.86278075,False,Same
Brad Pitt,006_87166f38.jpg,Brad Pitt,011_270cd3ea.jpg,0.7016673,0.77244127,True,Same
Brad Pitt,006_87166f38.jpg,Brad Pitt,012_8de7a736.jpg,0.6903924,0.78690237,False,Same
Brad Pitt,007_74ccfb4a.jpg,Brad Pitt,008_31e90c6b.jpg,0.8905099,0.4679532,True,Same
Brad Pitt,007_74ccfb4a.jpg,Brad Pitt,009_23c94f29.jpg,0.5664736,0.93115675,False,Same
Brad Pitt,007_74ccfb4a.jpg,Brad Pitt,010_08c44431.jpg,0.66485006,0.81871843,False,Same
Brad Pitt,007_74ccfb4a.jpg,Brad Pitt,011_270cd3ea.jpg,0.76743114,0.6820101,True,Same
Brad Pitt,007_74ccfb4a.jpg,Brad Pitt,012_8de7a736.jpg,0.869472,0.5109363,True,Same
Brad Pitt,008_31e90c6b.jpg,Brad Pitt,009_23c94f29.jpg,0.6378314,0.8510801,False,Same
Brad Pitt,008_31e90c6b.jpg,Brad Pitt,010_08c44431.jpg,0.72326934,0.74394983,True,Same
Brad Pitt,008_31e90c6b.jpg,Brad Pitt,011_270cd3ea.jpg,0.81065845,0.6153724,True,Same
Brad Pitt,008_31e90c6b.jpg,Brad Pitt,012_8de7a736.jpg,0.9033057,0.4397599,True,Same
Brad Pitt,009_23c94f29.jpg,Brad Pitt,010_08c44431.jpg,0.62918824,0.8611757,False,Same
Brad Pitt,009_23c94f29.jpg,Brad Pitt,011_270cd3ea.jpg,0.63538337,0.85395163,False,Same
Brad Pitt,009_23c94f29.jpg,Brad Pitt,012_8de7a736.jpg,0.6555851,0.8299577,False,Same
Brad Pitt,010_08c44431.jpg,Brad Pitt,011_270cd3ea.jpg,0.67969614,0.80037975,False,Same
Brad Pitt,010_08c44431.jpg,Brad Pitt,012_8de7a736.jpg,0.69987696,0.7747555,False,Same
Brad Pitt,011_270cd3ea.jpg,Brad Pitt,012_8de7a736.jpg,0.8243171,0.59276116,True,Same
Denzel Washington,001_d3323f3c.jpg,Denzel Washington,002_f44b8d45.jpg,0.6524044,0.83378124,False,Same
Denzel Washington,001_d3323f3c.jpg,Denzel Washington,005_cb37c7b2.jpg,0.7047661,0.76841927,True,Same
Denzel Washington,001_d3323f3c.jpg,Denzel Washington,006_2880115c.jpg,0.55994385,0.9381431,False,Same
Denzel Washington,001_d3323f3c.jpg,Denzel Washington,009_817304c7.jpg,0.5351384,0.9642216,False,Same
Denzel Washington,001_d3323f3c.jpg,Denzel Washington,010_47031d88.jpg,0.7096169,0.76208025,True,Same
Denzel Washington,001_d3323f3c.jpg,Denzel Washington,011_c2d9c2a1.jpg,0.6569834,0.8282713,False,Same
Denzel Washington,001_d3323f3c.jpg,Denzel Washington,012_6b8f22bf.jpg,0.4624085,1.0369104,False,Same
Denzel Washington,001_d3323f3c.jpg,Denzel Washington,015_72bb2861.jpg,-0.06478179,1.4593025,False,Same
Denzel Washington,001_d3323f3c.jpg,Denzel Washington,016_61188e3c.jpg,0.53367364,0.96573955,False,Same
Denzel Washington,002_f44b8d45.jpg,Denzel Washington,005_cb37c7b2.jpg,0.7523865,0.7037237,True,Same
Denzel Washington,002_f44b8d45.jpg,Denzel Washington,006_2880115c.jpg,0.5537891,0.9446808,False,Same
Denzel Washington,002_f44b8d45.jpg,Denzel Washington,009_817304c7.jpg,0.53321105,0.9662184,False,Same
Denzel Washington,002_f44b8d45.jpg,Denzel Washington,010_47031d88.jpg,0.71786124,0.7511841,True,Same
Denzel Washington,002_f44b8d45.jpg,Denzel Washington,011_c2d9c2a1.jpg,0.65265834,0.8334767,False,Same
Denzel Washington,002_f44b8d45.jpg,Denzel Washington,012_6b8f22bf.jpg,0.62698495,0.86373043,False,Same
Denzel Washington,002_f44b8d45.jpg,Denzel Washington,015_72bb2861.jpg,-0.064362064,1.4590148,False,Same
Denzel Washington,002_f44b8d45.jpg,Denzel Washington,016_61188e3c.jpg,0.7010555,0.7732328,True,Same
Denzel Washington,005_cb37c7b2.jpg,Denzel Washington,006_2880115c.jpg,0.59562045,0.89931035,False,Same
Denzel Washington,005_cb37c7b2.jpg,Denzel Washington,009_817304c7.jpg,0.6179872,0.87408555,False,Same
Denzel Washington,005_cb37c7b2.jpg,Denzel Washington,010_47031d88.jpg,0.7749182,0.67094237,True,Same
Denzel Washington,005_cb37c7b2.jpg,Denzel Washington,011_c2d9c2a1.jpg,0.70345455,0.7701241,True,Same
Denzel Washington,005_cb37c7b2.jpg,Denzel Washington,012_6b8f22bf.jpg,0.58083576,0.91560286,False,Same
Denzel Washington,005_cb37c7b2.jpg,Denzel Washington,015_72bb2861.jpg,-0.05154121,1.4502008,False,Same
Denzel Washington,005_cb37c7b2.jpg,Denzel Washington,016_61188e3c.jpg,0.6992471,0.7755681,False,Same
Denzel Washington,006_2880115c.jpg,Denzel Washington,009_817304c7.jpg,0.45153254,1.0473466,False,Same
Denzel Washington,006_2880115c.jpg,Denzel Washington,010_47031d88.jpg,0.54882824,0.94991755,False,Same
Denzel Washington,006_2880115c.jpg,Denzel Washington,011_c2d9c2a1.jpg,0.49202222,1.0079463,False,Same
Denzel Washington,006_2880115c.jpg,Denzel Washington,012_6b8f22bf.jpg,0.40402982,1.0917603,False,Same
Denzel Washington,006_2880115c.jpg,Denzel Washington,015_72bb2861.jpg,-0.12703139,1.5013536,False,Same
Denzel Washington,006_2880115c.jpg,Denzel Washington,016_61188e3c.jpg,0.5090272,0.9909317,False,Same
Denzel Washington,009_817304c7.jpg,Denzel Washington,010_47031d88.jpg,0.58327174,0.91293836,False,Same
Denzel Washington,009_817304c7.jpg,Denzel Washington,011_c2d9c2a1.jpg,0.49016693,1.0097852,False,Same
Denzel Washington,009_817304c7.jpg,Denzel Washington,012_6b8f22bf.jpg,0.4517688,1.047121,False,Same
Denzel Washington,009_817304c7.jpg,Denzel Washington,015_72bb2861.jpg,-0.00934812,1.4208082,False,Same
Denzel Washington,009_817304c7.jpg,Denzel Washington,016_61188e3c.jpg,0.49702343,1.0029721,False,Same
Denzel Washington,010_47031d88.jpg,Denzel Washington,011_c2d9c2a1.jpg,0.6908218,0.7863564,False,Same
Denzel Washington,010_47031d88.jpg,Denzel Washington,012_6b8f22bf.jpg,0.5490076,0.9497289,False,Same
Denzel Washington,010_47031d88.jpg,Denzel Washington,015_72bb2861.jpg,-0.104703784,1.4864075,False,Same
Denzel Washington,010_47031d88.jpg,Denzel Washington,016_61188e3c.jpg,0.6769041,0.8038606,False,Same
Denzel Washington,011_c2d9c2a1.jpg,Denzel Washington,012_6b8f22bf.jpg,0.47050467,1.0290728,False,Same
Denzel Washington,011_c2d9c2a1.jpg,Denzel Washington,015_72bb2861.jpg,-0.089304075,1.4760108,False,Same
Denzel Washington,011_c2d9c2a1.jpg,Denzel Washington,016_61188e3c.jpg,0.71871275,0.7500497,True,Same
Denzel Washington,012_6b8f22bf.jpg,Denzel Washington,015_72bb2861.jpg,-0.17940383,1.535841,False,Same
Denzel Washington,012_6b8f22bf.jpg,Denzel Washington,016_61188e3c.jpg,0.5295572,0.9699927,False,Same
Denzel Washington,015_72bb2861.jpg,Denzel Washington,016_61188e3c.jpg,-0.042522658,1.4439687,False,Same
Hugh Jackman,001_9adc92c2.jpg,Hugh Jackman,002_85eab275.jpg,0.5798132,0.916719,False,Same
Hugh Jackman,001_9adc92c2.jpg,Hugh Jackman,003_8889ec2c.jpg,0.6012221,0.8930598,False,Same
Hugh Jackman,001_9adc92c2.jpg,Hugh Jackman,005_3ba56da0.jpg,0.56473905,0.9330177,False,Same
Hugh Jackman,001_9adc92c2.jpg,Hugh Jackman,006_ff6876d9.jpg,0.62225837,0.86918545,False,Same
Hugh Jackman,001_9adc92c2.jpg,Hugh Jackman,007_68abd54d.jpg,0.65473866,0.83097696,False,Same
Hugh Jackman,001_9adc92c2.jpg,Hugh Jackman,008_d5553651.jpg,0.4866054,1.013306,False,Same
Hugh Jackman,001_9adc92c2.jpg,Hugh Jackman,010_cce39614.jpg,0.70981693,0.76181775,True,Same
Hugh Jackman,001_9adc92c2.jpg,Hugh Jackman,011_17b8991d.jpg,0.49119353,1.0087681,False,Same
Hugh Jackman,001_9adc92c2.jpg,Hugh Jackman,012_b33b05c6.jpg,0.74152046,0.71899873,True,Same
Hugh Jackman,001_9adc92c2.jpg,Hugh Jackman,013_025c288f.jpg,0.6214427,0.87012327,False,Same
Hugh Jackman,001_9adc92c2.jpg,Hugh Jackman,014_07f2f9cb.jpg,0.5889398,0.9067086,False,Same
Hugh Jackman,002_85eab275.jpg,Hugh Jackman,003_8889ec2c.jpg,0.6472253,0.83996993,False,Same
Hugh Jackman,002_85eab275.jpg,Hugh Jackman,005_3ba56da0.jpg,0.5898108,0.9057475,False,Same
Hugh Jackman,002_85eab275.jpg,Hugh Jackman,006_ff6876d9.jpg,0.62669283,0.86406857,False,Same
Hugh Jackman,002_85eab275.jpg,Hugh Jackman,007_68abd54d.jpg,0.5639445,0.9338689,False,Same
Hugh Jackman,002_85eab275.jpg,Hugh Jackman,008_d5553651.jpg,0.54696524,0.9518769,False,Same
Hugh Jackman,002_85eab275.jpg,Hugh Jackman,010_cce39614.jpg,0.67768747,0.8028856,False,Same
Hugh Jackman,002_85eab275.jpg,Hugh Jackman,011_17b8991d.jpg,0.58351606,0.91267073,False,Same
Hugh Jackman,002_85eab275.jpg,Hugh Jackman,012_b33b05c6.jpg,0.697062,0.77838033,False,Same
Hugh Jackman,002_85eab275.jpg,Hugh Jackman,013_025c288f.jpg,0.61934537,0.8725304,False,Same
Hugh Jackman,002_85eab275.jpg,Hugh Jackman,014_07f2f9cb.jpg,0.6816295,0.79796064,False,Same
Hugh Jackman,003_8889ec2c.jpg,Hugh Jackman,005_3ba56da0.jpg,0.64094514,0.8474136,False,Same
Hugh Jackman,003_8889ec2c.jpg,Hugh Jackman,006_ff6876d9.jpg,0.6396009,0.84899837,False,Same
Hugh Jackman,003_8889ec2c.jpg,Hugh Jackman,007_68abd54d.jpg,0.6584772,0.8264657,False,Same
Hugh Jackman,003_8889ec2c.jpg,Hugh Jackman,008_d5553651.jpg,0.61688745,0.87534285,False,Same
Hugh Jackman,003_8889ec2c.jpg,Hugh Jackman,010_cce39614.jpg,0.7320155,0.7320991,True,Same
Hugh Jackman,003_8889ec2c.jpg,Hugh Jackman,011_17b8991d.jpg,0.6226637,0.86871904,False,Same
Hugh Jackman,003_8889ec2c.jpg,Hugh Jackman,012_b33b05c6.jpg,0.73102045,0.73345697,True,Same
Hugh Jackman,003_8889ec2c.jpg,Hugh Jackman,013_025c288f.jpg,0.7776499,0.66685843,True,Same
Hugh Jackman,003_8889ec2c.jpg,Hugh Jackman,014_07f2f9cb.jpg,0.7236688,0.7434127,True,Same
Hugh Jackman,005_3ba56da0.jpg,Hugh Jackman,006_ff6876d9.jpg,0.81315356,0.6113043,True,Same
Hugh Jackman,005_3ba56da0.jpg,Hugh Jackman,007_68abd54d.jpg,0.679763,0.8002962,False,Same
Hugh Jackman,005_3ba56da0.jpg,Hugh Jackman,008_d5553651.jpg,0.7340756,0.7292797,True,Same
Hugh Jackman,005_3ba56da0.jpg,Hugh Jackman,010_cce39614.jpg,0.7038706,0.7695837,True,Same
Hugh Jackman,005_3ba56da0.jpg,Hugh Jackman,011_17b8991d.jpg,0.72137177,0.74649614,True,Same
Hugh Jackman,005_3ba56da0.jpg,Hugh Jackman,012_b33b05c6.jpg,0.6786107,0.80173475,False,Same
Hugh Jackman,005_3ba56da0.jpg,Hugh Jackman,013_025c288f.jpg,0.7094726,0.7622695,True,Same
Hugh Jackman,005_3ba56da0.jpg,Hugh Jackman,014_07f2f9cb.jpg,0.67231196,0.8095531,False,Same
Hugh Jackman,006_ff6876d9.jpg,Hugh Jackman,007_68abd54d.jpg,0.64911973,0.8377116,False,Same
Hugh Jackman,006_ff6876d9.jpg,Hugh Jackman,008_d5553651.jpg,0.64347976,0.8444172,False,Same
Hugh Jackman,006_ff6876d9.jpg,Hugh Jackman,010_cce39614.jpg,0.7015021,0.7726552,True,Same
Hugh Jackman,006_ff6876d9.jpg,Hugh Jackman,011_17b8991d.jpg,0.63372576,0.85589045,False,Same
Hugh Jackman,006_ff6876d9.jpg,Hugh Jackman,012_b33b05c6.jpg,0.7331808,0.73050565,True,Same
Hugh Jackman,006_ff6876d9.jpg,Hugh Jackman,013_025c288f.jpg,0.65006447,0.8365829,False,Same
Hugh Jackman,006_ff6876d9.jpg,Hugh Jackman,014_07f2f9cb.jpg,0.6400447,0.8484755,False,Same
Hugh Jackman,007_68abd54d.jpg,Hugh Jackman,008_d5553651.jpg,0.6606529,0.823829,False,Same
Hugh Jackman,007_68abd54d.jpg,Hugh Jackman,010_cce39614.jpg,0.6778375,0.8026986,False,Same
Hugh Jackman,007_68abd54d.jpg,Hugh Jackman,011_17b8991d.jpg,0.6919297,0.78494626,False,Same
Hugh Jackman,007_68abd54d.jpg,Hugh Jackman,012_b33b05c6.jpg,0.6906904,0.7865236,False,Same
Hugh Jackman,007_68abd54d.jpg,Hugh Jackman,013_025c288f.jpg,0.7023097,0.77160907,True,Same
Hugh Jackman,007_68abd54d.jpg,Hugh Jackman,014_07f2f9cb.jpg,0.5984252,0.8961861,False,Same
Hugh Jackman,008_d5553651.jpg,Hugh Jackman,010_cce39614.jpg,0.6170624,0.87514305,False,Same
Hugh Jackman,008_d5553651.jpg,Hugh Jackman,011_17b8991d.jpg,0.84891754,0.5496954,True,Same
Hugh Jackman,008_d5553651.jpg,Hugh Jackman,012_b33b05c6.jpg,0.6223703,0.8690567,False,Same
Hugh Jackman,008_d5553651.jpg,Hugh Jackman,013_025c288f.jpg,0.6577677,0.82732373,False,Same
Hugh Jackman,008_d5553651.jpg,Hugh Jackman,014_07f2f9cb.jpg,0.616173,0.87615865,False,Same
Hugh Jackman,010_cce39614.jpg,Hugh Jackman,011_17b8991d.jpg,0.6005532,0.89380854,False,Same
Hugh Jackman,010_cce39614.jpg,Hugh Jackman,012_b33b05c6.jpg,0.7545885,0.7005878,True,Same
Hugh Jackman,010_cce39614.jpg,Hugh Jackman,013_025c288f.jpg,0.69354916,0.78288037,False,Same
Hugh Jackman,010_cce39614.jpg,Hugh Jackman,014_07f2f9cb.jpg,0.705224,0.76782304,True,Same
Hugh Jackman,011_17b8991d.jpg,Hugh Jackman,012_b33b05c6.jpg,0.6345167,0.8549658,False,Same
Hugh Jackman,011_17b8991d.jpg,Hugh Jackman,013_025c288f.jpg,0.6550023,0.83065957,False,Same
Hugh Jackman,011_17b8991d.jpg,Hugh Jackman,014_07f2f9cb.jpg,0.63875246,0.84999716,False,Same
Hugh Jackman,012_b33b05c6.jpg,Hugh Jackman,013_025c288f.jpg,0.7454417,0.7135241,True,Same
Hugh Jackman,012_b33b05c6.jpg,Hugh Jackman,014_07f2f9cb.jpg,0.70213515,0.77183527,True,Same
Hugh Jackman,013_025c288f.jpg,Hugh Jackman,014_07f2f9cb.jpg,0.71733963,0.75187814,True,Same
Jennifer Lawrence,001_21a7d5e6.jpg,Jennifer Lawrence,002_533748b2.jpg,0.70736563,0.7650287,True,Same
Jennifer Lawrence,001_21a7d5e6.jpg,Jennifer Lawrence,003_963a3627.jpg,0.73038274,0.734326,True,Same
Jennifer Lawrence,001_21a7d5e6.jpg,Jennifer Lawrence,008_35fbbb0c.jpg,0.63885427,0.8498774,False,Same
Jennifer Lawrence,001_21a7d5e6.jpg,Jennifer Lawrence,011_8c50c05f.jpg,0.6720792,0.8098406,False,Same
